experiment_name,dataset_name,model_name,scenario_name,run_id,best_val_macro_f1,best_val_accuracy,best_val_loss,best_epoch,mode,target,alpha,beta,mix_lambda,start_epoch,mean_epoch_time,mean_throughput,exp_dir
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,all_mix_a08_lam025,2,0.287178267983211,0.3429999947547912,1.8897172155380249,10,mix,all,0.8,0.9,0.25,1.0,1.220925211906433,4669.673814378419,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/all_mix_a08_lam025/run_2
runs_transformer_fractional,small_D2_L64,T_wide_mean,adamw,1,0.2868508462621016,0.3479999899864197,1.802336968421936,6,,,,,,,49.77336375713348,80.36993548270718,/home/user/fractional_unlearning/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_1
runs_fractional_scenarios,small_D2_L64,T_small_mean,head_only_replace_a08,0,0.2868460848641381,0.3580000102519989,1.820851432800293,10,replace,head,0.8,0.9,1.0,1.0,6.754310894012451,592.3413919048863,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_small_mean/head_only_replace_a08/run_0
runs_fractional_hypothesis_v2,small_D2_L64,T_deep_mean,delayed_all_mix_a08_lam010_warm3,1,0.2867409712411974,0.3479999899864197,1.891042191505432,9,mix,all,0.8,0.9,0.1,4.0,1.774899959564209,2515.0155561795723,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/delayed_all_mix_a08_lam010_warm3/run_1
runs_fractional_scenarios,small_D2_L64,T_deep_mean,mixed_all_a08_lam050,0,0.2866563528382997,0.3729999959468841,1.7905423831939695,10,mix,all,0.8,0.9,0.5,1.0,1.502384352684021,4068.0766044809034,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_deep_mean/mixed_all_a08_lam050/run_0
runs_fractional_focused_final,small_D2_L64,T_base_mean,delayed_head_mix_a08_lam005_warm3,4,0.2864805687470393,0.3420000076293945,1.8986823787689209,8,mix,head,0.8,0.9,0.005,4.0,0.935489273071289,7893.073430151085,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_mean/delayed_head_mix_a08_lam005_warm3/run_4
runs_fractional_scenarios,small_D2_L64,T_wide_mean,mixed_all_a08_lam025,1,0.286462598766296,0.356000006198883,1.8546620235443116,7,mix,all,0.8,0.9,0.25,1.0,1.2938276052474975,3866.221000866335,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_wide_mean/mixed_all_a08_lam025/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,delayed_emb_mix_a08_lam025_warm3,0,0.2864244110195512,0.3420000076293945,1.8985022058486936,8,mix,embeddings,0.8,0.9,0.25,4.0,1.139116644859314,5392.528157189472,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam025_warm3/run_0
runs_fractional_scenarios,small_D2_L64,T_base_mean,baseline_adamw,2,0.2864127197334039,0.3510000109672546,1.841287469863892,7,none,none,,,0.0,,14.54913249015808,274.9729694395768,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/baseline_adamw/run_2
runs_fractional_scenarios,small_D2_L64,T_small_mean,delayed_mixed_all_a08_lam025_warm3,0,0.2862610416742217,0.3519999980926513,1.8829969177246093,5,mix,all,0.8,0.9,0.25,4.0,6.844466638565064,584.5573917661611,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_mixed_all_a08_lam025_warm3/run_0
runs_fractional_focused_final,small_D2_L64,T_wide_mean,all_mix_a08_lam030,1,0.2859288431315084,0.3459999859333038,1.878029501914978,8,mix,all,0.8,0.9,0.03,1.0,1.3687794208526611,3488.620537034561,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/all_mix_a08_lam030/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,delayed_all_mix_a08_lam010_warm3,2,0.2858566469814426,0.3540000021457672,1.9150992279052732,5,mix,all,0.8,0.9,0.1,4.0,1.2622493267059327,4059.9718570748896,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_all_mix_a08_lam010_warm3/run_2
runs_fractional_scenarios,small_D2_L64,T_base_mean,head_only_replace_a08,0,0.2855774440682935,0.3370000123977661,1.84364080619812,10,replace,head,0.8,0.9,1.0,1.0,14.635361409187317,273.4103983421981,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/head_only_replace_a08/run_0
runs_fractional_scenarios,small_D2_L64,T_base_cls,mixed_all_a08_lam050,0,0.2853639499415616,0.3540000021457672,1.8324816837310791,10,mix,all,0.8,0.9,0.5,1.0,16.24271674156189,248.3977499096099,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_cls/mixed_all_a08_lam050/run_0
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,head_replace_a08,1,0.2851094687765007,0.3770000040531158,1.8144211740493772,7,replace,head,0.8,0.9,1.0,1.0,1.3239985704421997,4157.260492721094,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/head_replace_a08/run_1
runs_fractional_scenarios,small_D2_L64,T_base_cls,baseline_adamw,1,0.2850410290924688,0.356000006198883,1.8038580770492556,9,none,none,,,0.0,,14.994635248184204,267.5751739452696,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_cls/baseline_adamw/run_1
