scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,delta_best_val_macro_f1_vs_baseline_count,delta_best_val_macro_f1_vs_baseline_mean,delta_best_val_macro_f1_vs_baseline_std,delta_best_val_macro_f1_vs_baseline_min,delta_best_val_macro_f1_vs_baseline_max,delta_best_val_macro_f1_vs_baseline_sum,delta_best_val_accuracy_vs_baseline_count,delta_best_val_accuracy_vs_baseline_mean,delta_best_val_accuracy_vs_baseline_std,delta_best_val_accuracy_vs_baseline_min,delta_best_val_accuracy_vs_baseline_max,delta_best_val_accuracy_vs_baseline_sum,delta_final_val_macro_f1_vs_baseline_count,delta_final_val_macro_f1_vs_baseline_mean,delta_final_val_macro_f1_vs_baseline_std,delta_final_val_macro_f1_vs_baseline_min,delta_final_val_macro_f1_vs_baseline_max,delta_final_val_macro_f1_vs_baseline_sum,beats_baseline_best_macro_f1_count,beats_baseline_best_macro_f1_mean,beats_baseline_best_macro_f1_std,beats_baseline_best_macro_f1_min,beats_baseline_best_macro_f1_max,beats_baseline_best_macro_f1_sum
all_mix_a08_lam015,mix,all,0.8,0.9,0.15,1.0,45,0.000970867350596223,0.01989340573965496,-0.083834680820879,0.045303550337592896,0.043689030776830035,45,5.185074276394438e-05,0.014876641069452402,-0.029583334922790527,0.03749999403953558,0.002333283424377497,45,0.0009086536783459432,0.022722133304452226,-0.0764140992450191,0.04575823194426569,0.04088941552556744,45,0.6666666666666666,0.47673129462279623,False,True,30
emb_replace_a075,replace,embeddings,0.75,0.9,1.0,1.0,75,0.0008089835785855951,0.015971069057170727,-0.0403681692603273,0.03767472228495952,0.060673768393919636,75,0.0011555552482604907,0.01521859899824484,-0.038000017404556274,0.04500001668930059,0.0866666436195368,75,0.003465839517712,0.01969494849859611,-0.04604064742235511,0.047171270087039696,0.2599379638284,75,0.5333333333333333,0.5022472023339227,False,True,40
emb_mix_a08_lam010,mix,embeddings,0.8,0.9,0.01,1.0,75,0.0007999328191418456,0.014437742627952707,-0.03375790530964831,0.03679129213431323,0.059994961435638414,75,-0.0012766671180725038,0.016925105249583034,-0.036000013351440374,0.05600002408027649,-0.09575003385543779,75,0.0004831914156448183,0.01938458959828647,-0.0368359492337586,0.046089073008027115,0.036239356173361374,75,0.5066666666666667,0.5033222956847166,False,True,38
delayed_head_mix_a08_lam005_warm3,mix,head,0.8,0.9,0.005,4.0,75,0.0005527501615747436,0.01677621086886463,-0.04398894842647949,0.05400179220614082,0.04145626211810577,75,-0.0019144447644551558,0.01822979816161353,-0.0559999942779541,0.04099997878074646,-0.14358335733413669,75,0.0005453447028389641,0.019864516503170372,-0.04216815812897051,0.051954607796077024,0.040900852712922306,75,0.5066666666666667,0.5033222956847166,False,True,38
emb_mix_a08_lam0025,mix,embeddings,0.8,0.9,0.0025,1.0,75,0.00038371185269325814,0.014828088721063792,-0.0321164205985576,0.04296088807685852,0.02877838895199436,75,-0.00043555577596028866,0.013866570700544525,-0.030833333730697632,0.04600000381469732,-0.03266668319702165,75,-0.0011890015680790366,0.01781232798616891,-0.039448436644102886,0.03458575838467148,-0.08917511760592775,75,0.52,0.5029641865709457,False,True,39
delayed_emb_mix_a08_lam010_warm3,mix,embeddings,0.8,0.9,0.1,4.0,45,0.000318851948911111,0.014877287095515024,-0.04423855828706119,0.03565836482166462,0.014348337700999997,45,0.00040555463896857366,0.015614773978173473,-0.042999982833862305,0.030000001192092896,0.018249958753585815,45,-0.0002842406134754893,0.01836922767050883,-0.05228729020495537,0.052889382921143605,-0.01279082760639702,45,0.5333333333333333,0.504524979109513,False,True,24
delayed_all_mix_a08_lam010_warm3,mix,all,0.8,0.9,0.1,4.0,45,0.000230928249785941,0.013582383359826816,-0.04282988107083707,0.02944114056932806,0.010391771240367345,45,-0.00019258923000759672,0.015069334790039293,-0.03299999237060547,0.037000000476837214,-0.008666515350341852,45,7.94374283990802e-05,0.018083474813142354,-0.04888044444016726,0.028153407806024183,0.003574684277958609,45,0.6,0.49543369430686224,False,True,27
emb_mix_a08_lam005,mix,embeddings,0.8,0.9,0.005,1.0,75,0.0002210239776960223,0.014083248518622497,-0.03415422418893568,0.03554765544854199,0.016576798327201672,75,-0.002735557556152345,0.014152451741918082,-0.046999990940093994,0.039000004529953,-0.2051668167114259,75,0.00010327817243622094,0.016885140076615048,-0.03415422418893568,0.038541862869748394,0.00774586293271657,75,0.4266666666666667,0.4979236165597369,False,True,32
emb_replace_a070,replace,embeddings,0.7,0.9,1.0,1.0,75,0.00021295602829314993,0.015334141546957778,-0.03988633299745789,0.04768943435947451,0.015971702121986245,75,-0.003414445320765175,0.015850819972133428,-0.039999991655349676,0.0370000004768371,-0.25608339905738814,75,0.0012538586248534178,0.019071388867178463,-0.032417905419558496,0.049000047246972905,0.09403939686400634,75,0.5066666666666667,0.5033222956847168,False,True,38
delayed_emb_mix_a08_lam015_warm3,mix,embeddings,0.8,0.9,0.015,4.0,75,1.594314265039217e-05,0.01403603359386834,-0.03472268546471008,0.0370803928355069,0.0011957356987794127,75,-0.001793333292007444,0.014964630403712145,-0.027999997138976995,0.043999999761581365,-0.1344999969005583,75,0.002223139860927732,0.016863335828355787,-0.042078867570254114,0.04773437212365578,0.1667354895695799,75,0.56,0.49972965664419966,False,True,42
